sample_id,ubc_id,tube_wt_g,tube_w_sample,dry_sample_wt
whi21.03,1,12.707,12.74447,0.037469999999999
whi21.05,2,12.724,12.75575,0.0317500000000006
whi21.06,3,12.726,12.75442,0.0284199999999988
whi21.07,4,12.725,12.74872,0.0237200000000009
whi21.08,5,12.646,12.68909,0.0430899999999994
whi21.09,6,12.875,12.88054,0.00553999999999988
whi21.10,7,12.703,12.98679,0.28379
tri21.03,8,12.83,12.88135,0.0513499999999993
tri21.04,9,12.747,12.76456,0.0175599999999996
tri21.05,10,12.825,12.83125,0.00625000000000142
tri21.06,11,12.739,12.78681,0.0478099999999984
tri21.07,12,12.773,12.79136,0.0183599999999995
tri21.08,13,12.674,12.68173,0.00773000000000046
tri21.09,14,12.808,12.84163,0.0336300000000005
tri21.10,15,12.768,12.79812,0.0301200000000001
tri21.11,16,12.729,12.74852,0.01952
tri21.12,17,12.834,12.86447,0.0304700000000011
tri21.13,18,12.831,12.85233,0.0213300000000007
tri21.14,19,12.763,12.85024,0.0872399999999995
tri21.15,20,12.749,12.81056,0.0615600000000001
bdw21.02,21,12.869,12.89531,0.0263100000000005
bdw21.03,22,12.808,12.8782,0.0701999999999998
bdw21.04,23,12.879,13.02736,0.14836
bdw21.07,24,12.741,12.74419,0.00319000000000003
bdw21.08,25,12.741,12.79591,0.0549099999999996
bdw21.09,26,12.762,12.83539,0.0733899999999998
bdw21.10,27,12.844,12.84924,0.00524000000000058
