"sample_id","ubc_id","tube_wt_g"
"whi21.03",1,12.707
"whi21.05",2,12.724
"whi21.06",3,12.726
"whi21.07",4,12.725
"whi21.08",5,12.646
"whi21.09",6,12.875
"whi21.10",7,12.703
"tri21.03",8,12.83
"tri21.04",9,12.747
"tri21.05",10,12.825
"tri21.06",11,12.739
"tri21.07",12,12.773
"tri21.08",13,12.674
"tri21.09",14,12.808
"tri21.10",15,12.768
"tri21.11",16,12.729
"tri21.12",17,12.834
"tri21.13",18,12.831
"tri21.14",19,12.763
"tri21.15",20,12.749
"bdw21.02",21,12.869
"bdw21.03",22,12.808
"bdw21.04",23,12.879
"bdw21.07",24,12.741
"bdw21.08",25,12.741
"bdw21.09",26,12.762
"bdw21.10",27,12.844
