system:time_start,srad
"Jun 1, 2020",434.319
"Jun 2, 2020",508.82
"Jun 3, 2020",318.904
"Jun 4, 2020",489.664
"Jun 5, 2020",431.749
"Jun 6, 2020",441.034
"Jun 7, 2020",333.069
"Jun 8, 2020",388.772
"Jun 9, 2020",421.457
"Jun 10, 2020",646.099
"Jun 11, 2020",300.516
"Jun 12, 2020",441.869
"Jun 13, 2020",259.372
"Jun 14, 2020",329.852
"Jun 15, 2020",507.259
"Jun 16, 2020",577.367
"Jun 17, 2020",648.971
"Jun 18, 2020",672.781
"Jun 19, 2020",671.84
"Jun 20, 2020",53.834
"Jun 21, 2020",467.368
"Jun 22, 2020",545.934
"Jun 23, 2020",415.819
"Jun 24, 2020",312.207
"Jun 25, 2020",670.207
"Jun 26, 2020",251.761
"Jun 27, 2020",482.72
"Jun 28, 2020",301.231
"Jun 29, 2020",654.315
"Jun 30, 2020",454.183
"Jul 1, 2020",147.225
"Jul 2, 2020",289.976
"Jul 3, 2020",510.734
"Jul 4, 2020",430.969
"Jul 5, 2020",604.928
"Jul 6, 2020",460.824
"Jul 7, 2020",409.931
"Jul 8, 2020",411.165
"Jul 9, 2020",241.33
"Jul 10, 2020",600.81
"Jul 11, 2020",547.389
"Jul 12, 2020",646.643
"Jul 13, 2020",369.886
"Jul 14, 2020",629.038
"Jul 15, 2020",400.267
"Jul 16, 2020",392.023
"Jul 17, 2020",334.741
"Jul 18, 2020",557.53
"Jul 19, 2020",545.527
"Jul 20, 2020",563.297
"Jul 21, 2020",397.404
"Jul 22, 2020",409.277
"Jul 23, 2020",478.94
"Jul 24, 2020",367.18
"Jul 25, 2020",525.399
"Jul 26, 2020",600.126
"Jul 27, 2020",467.151
"Jul 28, 2020",361.499
"Jul 29, 2020",358.962
"Jul 30, 2020",440.274
"Jul 31, 2020",426.36
"Aug 1, 2020",552.336
"Aug 2, 2020",449.187
"Aug 3, 2020",427.223
"Aug 4, 2020",399.277
"Aug 5, 2020",400.46
"Aug 6, 2020",320.953
"Aug 7, 2020",410.206
"Aug 8, 2020",394.124
"Aug 9, 2020",422.282
"Aug 10, 2020",426.177
"Aug 11, 2020",335.542
"Aug 12, 2020",379.169
"Aug 13, 2020",328.441
"Aug 14, 2020",400.585
"Aug 15, 2020",418.126
"Aug 16, 2020",333.72
"Aug 17, 2020",214.675
"Aug 18, 2020",332.487
"Aug 19, 2020",332.296
"Aug 20, 2020",322.816
"Aug 21, 2020",122.559
"Aug 22, 2020",319.976
"Aug 23, 2020",311.049
"Aug 24, 2020",217.223
"Aug 25, 2020",407.732
"Aug 26, 2020",278.103
"Aug 27, 2020",399.605
"Aug 28, 2020",355.03
"Aug 29, 2020",440.417
"Aug 30, 2020",359.592
"Aug 31, 2020",203.679
"Sep 1, 2020",307.05
"Sep 2, 2020",279.674
"Sep 3, 2020",337.395
"Sep 4, 2020",282.733
"Sep 5, 2020",279.155
"Sep 6, 2020",327.283
"Sep 7, 2020",294.887
"Sep 8, 2020",397.773
"Sep 9, 2020",351.439
"Sep 10, 2020",346.96
"Sep 11, 2020",323.165
"Sep 12, 2020",322.116
"Sep 13, 2020",103.516
"Sep 14, 2020",161.767
"Sep 15, 2020",313.711
"Sep 16, 2020",270.766
"Sep 17, 2020",221.146
"Sep 18, 2020",309.126
"Sep 19, 2020",161.719
"Sep 20, 2020",177.885
"Sep 21, 2020",106.092
"Sep 22, 2020",271.18
"Sep 23, 2020",28.69
"Sep 24, 2020",35.358
"Sep 25, 2020",28.885
"Sep 26, 2020",160.854
"Sep 27, 2020",38.87
"Sep 28, 2020",201.288
"Sep 29, 2020",214.369
"Sep 30, 2020",299.79
