system:time_start,tmin
"Jun 1, 2020",-1.762
"Jun 2, 2020",-1.629
"Jun 3, 2020",-1.982
"Jun 4, 2020",-2.256
"Jun 5, 2020",-1.165
"Jun 6, 2020",-0.494
"Jun 7, 2020",-1.36
"Jun 8, 2020",-1.179
"Jun 9, 2020",-3.506
"Jun 10, 2020",-0.956
"Jun 11, 2020",3.496
"Jun 12, 2020",5.459
"Jun 13, 2020",1.946
"Jun 14, 2020",-2.377
"Jun 15, 2020",-3.389
"Jun 16, 2020",-0.804
"Jun 17, 2020",-1.671
"Jun 18, 2020",-0.438
"Jun 19, 2020",1.513
"Jun 20, 2020",6.557
"Jun 21, 2020",4.943
"Jun 22, 2020",5.814
"Jun 23, 2020",7.604
"Jun 24, 2020",4.108
"Jun 25, 2020",2.896
"Jun 26, 2020",8.308
"Jun 27, 2020",-1.47
"Jun 28, 2020",-1.961
"Jun 29, 2020",-2.147
"Jun 30, 2020",0.247
"Jul 1, 2020",0.343
"Jul 2, 2020",-1.288
"Jul 3, 2020",1.636
"Jul 4, 2020",0.399
"Jul 5, 2020",1.345
"Jul 6, 2020",2.851
"Jul 7, 2020",3.273
"Jul 8, 2020",0.741
"Jul 9, 2020",3.901
"Jul 10, 2020",1.69
"Jul 11, 2020",5.162
"Jul 12, 2020",-0.763
"Jul 13, 2020",0.986
"Jul 14, 2020",-0.011
"Jul 15, 2020",4.224
"Jul 16, 2020",4.811
"Jul 17, 2020",4.785
"Jul 18, 2020",3.044
"Jul 19, 2020",3.226
"Jul 20, 2020",4.284
"Jul 21, 2020",9.503
"Jul 22, 2020",10.628
"Jul 23, 2020",8.26
"Jul 24, 2020",2.291
"Jul 25, 2020",1.521
"Jul 26, 2020",2.942
"Jul 27, 2020",11.037
"Jul 28, 2020",12.997
"Jul 29, 2020",13.458
"Jul 30, 2020",12.496
"Jul 31, 2020",11.889
"Aug 1, 2020",8.343
"Aug 2, 2020",11.644
"Aug 3, 2020",7.729
"Aug 4, 2020",8.514
"Aug 5, 2020",11.664
"Aug 6, 2020",7.815
"Aug 7, 2020",0.635
"Aug 8, 2020",1.932
"Aug 9, 2020",1.89
"Aug 10, 2020",3.825
"Aug 11, 2020",4.63
"Aug 12, 2020",2.527
"Aug 13, 2020",3.32
"Aug 14, 2020",3.5
"Aug 15, 2020",7.409
"Aug 16, 2020",11.114
"Aug 17, 2020",13.178
"Aug 18, 2020",11.872
"Aug 19, 2020",9.797
"Aug 20, 2020",10.613
"Aug 21, 2020",10.109
"Aug 22, 2020",2.95
"Aug 23, 2020",6.916
"Aug 24, 2020",9.087
"Aug 25, 2020",4.525
"Aug 26, 2020",7.212
"Aug 27, 2020",5.41
"Aug 28, 2020",6.244
"Aug 29, 2020",0.686
"Aug 30, 2020",0.112
"Aug 31, 2020",2.167
"Sep 1, 2020",4.167
"Sep 2, 2020",4.901
"Sep 3, 2020",4.843
"Sep 4, 2020",9.583
"Sep 5, 2020",11.386
"Sep 6, 2020",-2.589
"Sep 7, 2020",-4.513
"Sep 8, 2020",-3.834
"Sep 9, 2020",4.555
"Sep 10, 2020",6.514
"Sep 11, 2020",7.107
"Sep 12, 2020",5.047
"Sep 13, 2020",8.164
"Sep 14, 2020",8.881
"Sep 15, 2020",1.043
"Sep 16, 2020",4.83
"Sep 17, 2020",8.314
"Sep 18, 2020",8.281
"Sep 19, 2020",6.439
"Sep 20, 2020",3.872
"Sep 21, 2020",3.432
"Sep 22, 2020",3.75
"Sep 23, 2020",4.654
"Sep 24, 2020",-0.453
"Sep 25, 2020",-2.053
"Sep 26, 2020",-4.728
"Sep 27, 2020",-1.367
"Sep 28, 2020",3.337
"Sep 29, 2020",2.708
"Sep 30, 2020",-0.028
