Slice,Count,Total Area,Average Size,%Area,Mean
tri21.03_15.JPG,6,7261,1210.167,0.235,255
tri21.03_16.JPG,6,7731,1288.500,0.250,255
tri21.04_01.JPG,5,2478,495.600,0.080,255
tri21.04_01.JPG,2,1843,921.500,0.059,255
tri21.04_01.JPG,3,12744,4248.000,0.411,255
tri21.04_01.JPG,18,43884,2438.000,1.414,255
tri21.04_01.JPG,3,3294,1098.000,0.106,255
tri21.04_01.JPG,2,1843,921.500,0.059,255
tri21.04_01.JPG,1,1311,1311.000,0.042,255
tri21.04_02.JPG,1,2014,2014.000,0.066,255
tri21.04_03.JPG,2,3534,1767.000,0.115,255
tri21.04_03.JPG,0,0,NaN,0.000,NaN
tri21.04_03.JPG,1,2700,2700.000,0.088,255
tri21.04_07.JPG,1,2131,2131.000,0.070,255
tri21.04_08.JPG,1,5693,5693.000,0.187,255
tri21.04_12.JPG,1,7522,7522.000,0.244,255
tri21.04_13.JPG,1,4375,4375.000,0.141,255
tri21.04_14.JPG,0,0,NaN,0.000,NaN
tri21.04_15.JPG,1,1097,1097.000,0.035,255
tri21.06_01.JPG,8,12821,1602.625,0.417,255
tri21.06_02.JPG,8,12207,1525.875,0.399,255
tri21.06_03.JPG,2,2841,1420.500,0.092,255
tri21.06_04.JPG,3,3370,1123.333,0.110,255
tri21.06_05.JPG,5,7885,1577.000,0.254,255
tri21.06_06.JPG,2,2981,1490.500,0.096,255
tri21.06_07.JPG,25,42082,1683.280,1.364,255
tri21.06_08.JPG,8,11112,1389.000,0.364,255
tri21.06_09.JPG,10,15239,1523.900,0.500,255
tri21.06_10.JPG,1,598,598.000,0.020,255
tri21.06_11.JPG,5,7064,1412.800,0.229,255
tri21.06_12.JPG,4,5709,1427.250,0.184,255
tri21.06_13.JPG,5,6393,1278.600,0.209,255
tri21.06_14.JPG,3,4148,1382.667,0.134,255
tri21.06_15.JPG,12,22194,1849.500,0.718,255
tri21.06_16.JPG,11,18929,1720.818,0.611,255
tri21.07_01.JPG,1,2383,2383.000,0.077,255
tri21.07_02.JPG,1,1517,1517.000,0.049,255
tri21.07_03.JPG,1,3449,3449.000,0.110,255
tri21.07_10.JPG,1,3273,3273.000,0.103,255
tri21.07_12.JPG,4,9106,2276.500,0.284,255
tri21.07_12.JPG,3,7436,2478.667,0.232,255
tri21.07_13.JPG,4,15328,3832.000,0.488,255
tri21.07_14.JPG,2,5467,2733.500,0.173,255
tri21.07_15.JPG,2,2527,1263.500,0.080,255
tri21.07_16.JPG,1,2696,2696.000,0.085,255
tri21.09_01.JPG,2,3707,1853.500,0.118,255
tri21.09_01.JPG,0,0,NaN,0.000,NaN
tri21.09_01.JPG,1,2709,2709.000,0.086,255
tri21.09_04.JPG,1,5955,5955.000,0.191,255
tri21.09_04.JPG,1,3709,3709.000,0.119,255
tri21.09_05.JPG,1,2454,2454.000,0.079,255
tri21.09_13.JPG,3,5038,1679.333,0.161,255
tri21.09_13.JPG,1,3344,3344.000,0.107,255
tri21.09_15.JPG,0,0,NaN,0.000,NaN
tri21.09_15.JPG,1,2197,2197.000,0.070,255
tri21.10_01.JPG,3,15845,5281.667,0.513,255
tri21.10_13.JPG,1,5218,5218.000,0.168,255
tri21.11_10.JPG,2,4954,2477.000,0.160,255
tri21.11_11.JPG,0,0,NaN,0.000,NaN
