 ,Area,Mean,Min,Max
1,1950,255,255,255
2,529,255,255,255
3,255,255,255,255
4,1490,255,255,255
5,3567,255,255,255
6,255,255,255,255
7,1490,255,255,255
8,3567,255,255,255
9,1490,255,255,255
10,3567,255,255,255
11,2987,255,255,255
12,3951,255,255,255
13,1752,255,255,255
14,3849,255,255,255
15,1570,255,255,255
16,2135,255,255,255
17,2048,255,255,255
18,2541,255,255,255
19,2583,255,255,255
20,128,255,255,255
21,128,255,255,255
22,158,255,255,255
23,128,255,255,255
24,233,255,255,255
25,135,255,255,255
26,1165,255,255,255
27,205,255,255,255
28,140,255,255,255
29,375112,255,255,255
30,367503,255,255,255
31,180,255,255,255
32,456,255,255,255
33,1125,255,255,255
34,125,255,255,255
35,153,255,255,255
36,244,255,255,255
37,229,255,255,255
38,166,255,255,255
39,128,255,255,255
40,128,255,255,255
41,158,255,255,255
42,128,255,255,255
43,233,255,255,255
44,135,255,255,255
45,1165,255,255,255
46,205,255,255,255
47,140,255,255,255
48,375112,255,255,255
49,367503,255,255,255
50,180,255,255,255
51,456,255,255,255
52,1125,255,255,255
53,125,255,255,255
54,153,255,255,255
55,244,255,255,255
56,229,255,255,255
57,166,255,255,255
58,233,255,255,255
59,1165,255,255,255
60,205,255,255,255
61,375112,255,255,255
62,367503,255,255,255
63,456,255,255,255
64,1125,255,255,255
65,244,255,255,255
66,229,255,255,255
67,375112,255,255,255
68,367503,255,255,255
69,1165,255,255,255
70,375112,255,255,255
71,367503,255,255,255
72,1125,255,255,255
73,1165,255,255,255
74,375112,255,255,255
75,367503,255,255,255
76,1125,255,255,255
77,1165,255,255,255
78,1125,255,255,255
79,2027,255,255,255
80,3816,255,255,255
81,1315,255,255,255
82,2999,255,255,255
83,2105,255,255,255
84,2318,255,255,255
85,2836,255,255,255
86,5426,255,255,255
87,4922,255,255,255
88,5613,255,255,255
89,722,255,255,255
90,5613,255,255,255
91,2752,255,255,255
92,1762,255,255,255
93,2156,255,255,255
94,5228,255,255,255
95,3729,255,255,255
96,2498,255,255,255
97,574,255,255,255
98,2291,255,255,255
99,2621,255,255,255
100,1305,255,255,255
101,3722,255,255,255
102,2789,255,255,255
103,1658,255,255,255
104,3367,255,255,255
105,7035,255,255,255
106,1891,255,255,255
107,1972,255,255,255
108,4411,255,255,255
109,2005,255,255,255
110,2943,255,255,255
111,1563,255,255,255
112,1889,255,255,255
113,3051,255,255,255
114,4514,255,255,255
115,2273,255,255,255
116,1084,255,255,255
117,2324,255,255,255
118,2725,255,255,255
119,3507,255,255,255
120,1237,255,255,255
121,4105,255,255,255
122,4375,255,255,255
123,2105,255,255,255
124,3656,255,255,255
125,1419,255,255,255
126,2817,255,255,255
127,1635,255,255,255
128,1861,255,255,255
129,3656,255,255,255
130,1147,255,255,255
131,2817,255,255,255
132,1635,255,255,255
133,1861,255,255,255
134,2503,255,255,255
135,2503,255,255,255
136,2529,255,255,255
137,784,255,255,255
138,5224,255,255,255
139,1022,255,255,255
140,3464,255,255,255
141,3803,255,255,255
142,3857,255,255,255
143,3362,255,255,255
144,2224,255,255,255
145,4597,255,255,255
146,4122,255,255,255
147,2944,255,255,255
148,3358,255,255,255
149,4635,255,255,255
150,2682,255,255,255
151,4889,255,255,255
152,3604,255,255,255
153,3336,255,255,255
154,10598,255,255,255
155,2378,255,255,255
156,1710,255,255,255
157,1330,255,255,255
158,3242,255,255,255
