 ,Area,Mean,Min,Max
1,2403,255,255,255
2,5328,255,255,255
3,6597,255,255,255
4,2649,255,255,255
5,1217,255,255,255
6,1425,255,255,255
7,1396,255,255,255
8,1173,255,255,255
9,1009,255,255,255
10,1690,255,255,255
11,1430,255,255,255
12,1217,255,255,255
13,1945,255,255,255
14,1333,255,255,255
15,836,255,255,255
16,1240,255,255,255
17,2269,255,255,255
18,1943,255,255,255
19,989,255,255,255
20,1423,255,255,255
21,938,255,255,255
22,1918,255,255,255
23,1112,255,255,255
24,1272,255,255,255
25,1239,255,255,255
26,1180,255,255,255
27,849,255,255,255
28,1744,255,255,255
29,1570,255,255,255
30,1090,255,255,255
31,2410,255,255,255
32,1271,255,255,255
33,1007,255,255,255
34,1284,255,255,255
35,1422,255,255,255
36,1161,255,255,255
37,729,255,255,255
38,1446,255,255,255
39,1376,255,255,255
40,1624,255,255,255
41,1969,255,255,255
42,1099,255,255,255
43,1141,255,255,255
44,711,255,255,255
45,1132,255,255,255
46,846,255,255,255
47,1247,255,255,255
48,1090,255,255,255
49,1502,255,255,255
50,1088,255,255,255
51,892,255,255,255
52,766,255,255,255
53,1549,255,255,255
54,898,255,255,255
55,1769,255,255,255
56,913,255,255,255
57,1211,255,255,255
58,1107,255,255,255
59,1139,255,255,255
60,1356,255,255,255
61,1578,255,255,255
62,1463,255,255,255
63,2496,255,255,255
64,1549,255,255,255
65,847,255,255,255
66,1021,255,255,255
67,787,255,255,255
68,1281,255,255,255
69,1954,255,255,255
70,1366,255,255,255
71,1327,255,255,255
72,1259,255,255,255
73,1060,255,255,255
74,1340,255,255,255
75,1003,255,255,255
76,725,255,255,255
77,2449,255,255,255
78,1254,255,255,255
79,1231,255,255,255
80,1444,255,255,255
81,1334,255,255,255
82,1670,255,255,255
83,1033,255,255,255
84,1037,255,255,255
85,1141,255,255,255
86,1193,255,255,255
87,1339,255,255,255
88,1302,255,255,255
89,541,255,255,255
90,407,255,255,255
91,1173,255,255,255
92,1615,255,255,255
93,1622,255,255,255
94,1118,255,255,255
95,1336,255,255,255
96,1519,255,255,255
97,1096,255,255,255
98,1316,255,255,255
99,1264,255,255,255
100,1224,255,255,255
101,1182,255,255,255
102,842,255,255,255
103,970,255,255,255
104,585,255,255,255
105,970,255,255,255
106,415,255,255,255
107,2878,255,255,255
108,1145,255,255,255
109,1430,255,255,255
110,1202,255,255,255
111,821,255,255,255
112,1895,255,255,255
113,1919,255,255,255
114,835,255,255,255
115,1598,255,255,255
116,780,255,255,255
117,2119,255,255,255
118,1208,255,255,255
119,1071,255,255,255
120,1407,255,255,255
121,1272,255,255,255
122,5429,255,255,255
123,1228,255,255,255
124,1207,255,255,255
125,956,255,255,255
126,1355,255,255,255
127,1190,255,255,255
128,1041,255,255,255
129,696,255,255,255
130,638,255,255,255
131,1345,255,255,255
132,1225,255,255,255
133,1726,255,255,255
134,1139,255,255,255
135,1265,255,255,255
136,1401,255,255,255
137,1224,255,255,255
138,2706,255,255,255
139,1437,255,255,255
140,1001,255,255,255
141,1050,255,255,255
142,1365,255,255,255
143,1153,255,255,255
144,690,255,255,255
145,4487,255,255,255
146,1149,255,255,255
147,1399,255,255,255
148,1057,255,255,255
149,1362,255,255,255
150,851,255,255,255
151,1353,255,255,255
152,1265,255,255,255
153,1758,255,255,255
154,1311,255,255,255
155,1239,255,255,255
156,1081,255,255,255
157,728,255,255,255
158,1099,255,255,255
