"Slice","Count","Total Area","Average Size","%Area","Mean",
"bdw2108_05.JPG",3,14328,4776,0.464,255,
"bdw2108_06.JPG",1,2649,2649,0.088,255,
"bdw2108_11.JPG",1,2500,2500,0.089,255,"manually estimated, based on sim size of previous row (also one cell of sim size)"
"tri2103_01.JPG",7,9340,1334.286,0.308,255,
"tri2103_02.JPG",6,8840,1473.333,0.29,255,
"tri2103_03.JPG",11,14607,1327.909,0.481,255,
"tri2103_04.JPG",14,19458,1389.857,0.631,255,
"tri2103_05.JPG",13,14631,1125.462,0.484,255,
"tri2103_06.JPG",8,11263,1407.875,0.366,255,
"tri2103_07.JPG",10,12451,1245.1,0.409,255,
"tri2103_08.JPG",11,14520,1320,0.477,255,
"tri2103_09.JPG",4,4975,1243.75,0.163,255,
"tri2103_10.JPG",2,948,474,0.031,255,
"tri2103_11.JPG",12,15307,1275.583,0.494,255,
"tri2103_12.JPG",19,24520,1290.526,0.798,255,
"tri2103_13.JPG",17,25771,1515.941,0.828,255,
"tri2103_14.JPG",15,21377,1425.133,0.689,255,
"tri2103_15.JPG",6,6371,1061.833,0.206,255,
"tri2103_16.JPG",12,16680,1390,0.544,255,
"tri2106_01.JPG",1,1852,1852,0.061,255,
"tri2106_02.JPG",4,5874,1468.5,0.19,255,
"tri2106_03.JPG",4,4143,1035.75,0.136,255,
"tri2106_04.JPG",5,5025,1005,0.165,255,
"tri2106_05.JPG",5,6446,1289.2,0.213,255,
"tri2106_06.JPG",5,7463,1492.6,0.247,255,
"tri2106_07.JPG",25,61087,2443.48,1.964,255,
"tri2106_08.JPG",9,11372,1263.556,0.373,255,
"tri2106_09.JPG",3,3938,1312.667,0.127,255,
"tri2106_10.JPG",18,33797,1877.611,1.093,255,
"tri2106_11.JPG",6,8753,1458.833,0.279,255,
"tri2106_12.JPG",5,7125,1425,0.23,255,
"tri2106_13.JPG",2,2524,1262,0.081,255,
"tri2106_14.JPG",5,9480,1896,0.301,255,
"tri2106_15.JPG",7,9273,1324.714,0.296,255,
"tri2106_16.JPG",5,6010,1202,0.198,255,
"tri2107_01.JPG",8,18540,2317.5,0.61,255,
"tri2107_03.JPG",5,13576,2715.2,0.443,255,
"tri2107_06.JPG",5,13032,2606.4,0.43,255,
"tri2107_07.JPG",2,5132,2566,0.168,255,
"tri2107_08.JPG",1,1474,1474,0.048,255,
"tri2107_10.JPG",1,2407,2407,0.079,255,
"tri2107_13.JPG",3,8759,2919.667,0.281,255,
"tri2111_01.JPG",0,0,"NA",0,255,"manual"
"tri2111_02.JPG",2,2862,1431,0.094,255,
"tri2111_06.JPG",1,2911,2911,0.094,255,
"tri2111_09.JPG",1,2467,2467,0.079,255,
"tri2111_10.JPG",1,1054,1054,0.034,255,
"tri2112_01.JPG",1,2701,2701,0.088,255,
"tri2112_02.JPG",5,15574,3114.8,0.509,255,
"tri2112_04.JPG",2,3755,1877.5,0.123,255,
"tri2112_05.JPG",1,2563,2563,0.084,255,
"tri2112_06.JPG",1,2286,2286,0.075,255,
"tri2112_08.JPG",1,3038,3038,0.099,255,
"tri2112_09.JPG",1,2151,2151,0.07,255,
"tri2112_10.JPG",3,7379,2459.667,0.241,255,
"tri2112_11.JPG",1,2355,2355,0.077,255,
"tri2112_12.JPG",1,2091,2091,0.068,255,
"tri2112_14.JPG",1,3134,3134,0.102,255,
"tri2112_15.JPG",1,1680,1680,0.055,255,
"tri2112_16.JPG",1,3859,3859,0.126,255,
"tri2114_01.JPG",3,9661,3220.333,0.315,255,
"tri2114_02.JPG",2,5922,2961,0.195,255,
"tri2114_03.JPG",5,13421,2684.2,0.434,255,
"tri2114_04.JPG",1,2468,2468,0.081,255,
"tri2114_06.JPG",5,15033,3006.6,0.487,255,
"tri2114_07.JPG",2,7427,3713.5,0.24,255,
"tri2114_08.JPG",1,5278,5278,0.17,255,
"tri2114_09.JPG",3,7320,2440,0.236,255,
"tri2114_10.JPG",2,7402,3701,0.239,255,
"tri2114_11.JPG",1,3770,3770,0.121,255,
"tri2114_12.JPG",3,11239,3746.333,0.366,255,
"tri2114_14.JPG",2,5750,2875,0.186,255,
"tri2114_15.JPG",1,1968,1968,0.062,255,
"tri2114_16.JPG",1,2062,2062,0.068,255,
"tri2115_02.JPG",3,9198,3066,0.299,255,
"tri2115_03.JPG",2,4777,2388.5,0.16,255,
"tri2115_04.JPG",14,43870,3133.571,1.428,255,
