sample_id,aliquot,cells_per_ul,cell_um2_per_ul,mean_cell_area_um2
bdw21.08,C,10,6900,690
bdw21.08,D,2.5,1112.5,445
tri21.03,C,200,43075,215.375
tri21.03,D,217.5,46912.5,215.68965517241378
tri21.06,C,145,41862.5,288.7068965517241
tri21.06,D,127.5,32562.5,255.3921568627451
tri21.07,C,52.5,21237.499999999993,404.5238095238094
tri21.07,D,10,4500,450
tri21.11,C,7.5,2350,313.3333333333333
tri21.11,D,5,1412.5,282.5
tri21.12,C,27.5,12225,444.54545454545456
tri21.12,D,22.5,9237.5,410.55555555555554
tri21.14,C,47.5,24025,505.7894736842105
tri21.14,D,32.5,15975,491.53846153846155
tri21.15,C,120,54087.499999999985,450.7291666666666
tri21.15,D,82.5,33250,403.030303030303
whi21.03,C,322.5,69749.99999999999,216.27906976744183
whi21.03,D,282.5,61912.50000000001,219.15929203539827
whi21.04,C,85,28075,330.29411764705884
whi21.04,D,72.5,29350,404.82758620689657
