W,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
341,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
341.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
342,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
342.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
343,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
343.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
344,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
344.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
345,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
345.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
346,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
346.5,28.194,32.893,31.691,43.368,42.576,33.988,43.429,58.474,50.799,41.141
347,73.317,82.456,73.37,79.615,80.399,80.267,83.046,89.352,89.252,82.908
347.5,78.99,84.923,80.874,78.305,80.361,83.411,80.59,81.379,83.574,80.604
348,80.288,86.416,81.75,78.311,80.255,82.59,79.979,81.939,80.325,79.933
348.5,77.958,84.402,81.201,77.484,80.163,81.095,78.859,81.236,77.888,78.999
349,78.449,84.055,81.783,79.363,82.541,82.528,81.594,83.739,81.738,79.689
349.5,78.643,83.985,81.411,80.251,83.481,83.282,82.918,84.203,83.476,78.689
350,78.828,84.141,80.561,80.287,83.684,83.499,82.833,83.237,83.268,77.66
350.5,78.693,84.769,79.681,79.937,82.849,83.445,81.852,82.055,82.912,76.843
351,78.566,84.819,79.449,79.443,81.929,82.875,81.422,81.682,82.17,77.332
351.5,78.552,84.576,79.248,79.573,81.757,82.388,81.781,82.431,81.727,78.018
352,78.977,84.477,79.29,80.43,81.444,82.011,82.351,83.454,81.557,78.094
352.5,79.319,84.483,79.559,81.034,81.328,81.918,82.651,83.84,81.638,78.155
353,80.098,85.15,79.876,81.45,81.176,82.167,82.84,83.718,82.267,78.248
353.5,80.769,85.903,80.248,80.535,80.714,82.091,83.11,83.083,82.524,78.752
354,80.703,85.491,79.851,80.146,81.011,81.627,83.348,83.08,82.388,79.174
354.5,80.085,85.171,79.099,80.525,81.699,81.961,83.632,82.928,81.808,79.584
355,78.595,84.334,78.542,81.138,82.075,81.81,83.567,82.234,81.438,79.861
355.5,77.132,83.965,78.224,81.355,82.107,82.126,83.646,81.816,81.276,80.269
356,76.565,83.545,78.441,80.713,81.229,82.185,83.275,81.467,80.667,80.074
356.5,76.454,82.756,78.357,79.785,80.301,82.031,82.48,81.541,80.55,79.746
357,76.714,82.195,78.047,79.589,79.878,82.058,82.113,82.013,80.246,79.311
357.5,76.851,81.902,77.91,79.671,79.607,82.301,82.418,82.067,80.258,79.156
358,76.66,81.788,77.958,80.251,79.649,82.258,82.719,82.075,80.692,79.06
358.5,76.401,81.628,78.063,81.289,80.394,82.184,82.813,82.32,81.167,78.425
359,76.651,81.508,78.085,81.574,81.022,81.981,81.769,82.34,81.821,77.943
359.5,76.883,81.593,77.65,81.102,81.032,81.708,80.59,82.328,81.761,77.105
360,76.792,82.016,77.203,79.76,80.047,81.833,79.959,81.403,81.292,77.004
360.5,76.822,82.551,77.189,78.65,79.152,81.845,79.898,81.005,80.5,77.146
361,76.946,82.762,77.798,78.861,79.232,81.559,80.354,81.355,80.296,77.767
361.5,77.221,82.571,78.364,78.952,79.985,80.937,80.822,81.876,80.256,78.522
362,77.162,82.143,78.933,79.441,80.777,80.945,81.235,82.723,80.694,79.117
362.5,77.287,81.694,79.08,79.755,80.929,81.58,81.794,82.743,81.453,79.423
363,76.96,81.513,79.243,79.766,80.547,81.939,82.052,82.268,81.914,78.872
363.5,76.618,81.446,79.102,80.05,80.647,82.396,82.834,82.392,82.725,78.292
364,76.472,81.763,79.197,79.672,80.866,82.266,83.189,82.236,82.812,77.59
364.5,76.239,81.915,79.03,79.614,81.192,82.033,83.292,82.385,82.942,77.552
365,76.423,82.128,78.748,79.716,81.33,82.449,83.552,82.977,83.26,78.008
365.5,76.741,82.258,78.528,80.037,80.979,82.466,83.414,83.429,82.823,77.781
366,77.121,82.11,78.422,80.151,80.846,82.397,82.975,83.571,82.412,77.246
366.5,77.662,82.043,78.554,79.992,80.788,82.178,82.591,83.576,81.633,76.636
367,77.947,81.942,78.586,79.692,80.814,82.054,81.819,83.114,81.333,76.824
367.5,78.116,82.171,78.938,79.415,80.898,82.13,81.681,83.19,81.57,77.355
368,77.931,82.231,79.08,79.087,81.056,82.149,81.541,82.87,81.752,77.918
368.5,77.943,82.365,79.342,78.646,80.842,81.764,81.219,82.349,81.372,77.982
369,78.048,82.404,79.391,78.527,80.855,81.657,81.198,81.833,81.144,77.983
369.5,78.165,82.766,79.107,78.665,80.771,81.931,81.434,81.811,81.263,78.047
370,78.367,83.185,78.579,79.109,80.626,82.125,81.674,82.049,81.454,77.806
370.5,78.408,83.09,78.128,79.654,81.138,82.541,82.239,82.468,81.917,77.921
371,78.462,82.852,77.894,79.556,81.148,82.163,81.804,82.603,81.701,77.753
371.5,78.44,82.658,78.177,79.093,81.464,82.052,81.592,82.518,81.515,78.234
372,78.476,82.766,78.951,78.834,81.665,81.969,81.219,82.676,81.664,78.514
372.5,78.416,83.265,79.534,78.836,81.497,81.899,80.859,82.672,81.771,78.675
373,78.212,83.77,79.839,78.79,81.293,82.211,80.839,82.639,81.602,78.505
373.5,77.836,83.724,79.707,79.368,81.262,83.097,81.321,82.815,81.932,78.263
374,77.589,83.516,79.33,79.389,80.695,83.496,81.837,82.642,81.544,78.056
374.5,77.681,83.174,79.236,79.727,80.43,83.525,82.297,82.678,81.485,77.931
375,77.743,82.821,78.989,79.788,80.378,82.858,82.222,82.724,81.549,78.081
375.5,77.415,82.776,78.761,79.781,80.63,82.152,81.97,82.852,81.486,78.146
376,76.985,82.557,78.66,79.789,81.142,82.077,81.87,82.954,81.87,78.042
376.5,76.662,82.104,78.395,80.127,81.322,82.214,81.789,82.991,82.061,78.114
377,76.908,81.985,78.56,80.295,81.126,82.41,81.478,82.693,82.329,77.989
377.5,77.273,82.175,78.667,80.244,80.941,82.329,81.141,82.517,82.288,78.015
378,77.685,82.355,78.548,80.112,80.966,82.487,81.184,82.472,81.976,77.751
378.5,77.99,82.653,78.485,79.933,81.301,82.737,81.541,82.659,81.544,76.914
379,77.56,82.513,78.043,79.874,81.471,82.953,81.828,82.905,81.203,76.702
379.5,77.197,82.297,77.786,80.031,81.461,83.004,82.062,83.328,81.449,76.905
380,76.748,82.256,77.595,79.737,81.001,82.427,81.753,82.855,81.403,77.829
380.5,76.556,82.112,77.665,79.792,80.669,81.929,81.564,82.474,81.319,78.626
381,76.884,82.113,78.029,79.901,80.538,81.758,81.417,82.105,81.079,78.724
381.5,76.902,82.037,78.193,79.977,80.47,81.416,81.58,81.791,80.964,78.319
382,77.141,81.832,78.143,79.904,80.629,81.36,81.741,81.681,81.121,78.052
382.5,77.31,81.677,78.132,79.456,80.788,81.159,81.861,82.043,81.407,78.03
383,77.502,81.498,78.045,79.151,81.06,80.959,81.746,82.531,81.555,78.255
383.5,77.557,81.651,78.274,79.407,81.639,81.464,81.66,82.861,81.738,78.394
384,77.463,82.051,78.485,79.636,81.807,82.104,81.601,82.798,81.815,78.495
384.5,77.599,82.402,78.599,79.725,81.571,82.643,81.386,82.169,81.77,78.436
385,77.488,82.504,78.563,79.632,81.246,83.061,81.363,81.909,81.818,78.436
385.5,77.508,82.325,78.377,79.113,80.964,82.932,81.063,81.681,81.513,78.461
386,77.247,82.103,77.934,78.872,81.074,82.459,81.149,81.665,81.137,78.21
386.5,76.949,81.79,77.319,78.945,81.612,82.347,81.609,81.85,80.885,77.779
387,76.934,81.583,76.841,79.273,81.792,82.311,81.744,82.201,80.901,77.374
387.5,77.131,81.543,76.799,79.907,81.885,82.493,81.971,82.802,81.195,77.313
388,77.263,81.542,77.122,79.946,81.792,82.425,81.729,83.124,81.192,77.553
388.5,77.357,81.774,77.72,79.591,81.496,82.359,81.322,83.138,81.065,77.593
389,77.156,81.736,77.845,79.336,81.241,82.155,81.152,82.873,81.265,77.57
389.5,76.739,81.772,77.861,79.329,81.188,82.122,81.014,82.868,81.772,77.593
390,76.657,82.07,77.82,79.555,81.202,82.096,81.049,82.672,81.929,77.952
390.5,76.816,82.478,78.08,79.577,81.143,81.915,81.23,82.599,81.927,78.42
391,77.265,82.878,78.571,79.588,81.167,81.729,81.494,82.398,81.521,78.844
391.5,77.792,82.979,79.055,79.787,81.157,81.724,81.887,82.364,81.281,78.646
392,77.858,82.95,79.283,79.909,81.001,81.876,82.107,82.428,81.35,78.288
392.5,77.785,83.035,79.175,79.613,80.613,81.725,82.001,82.262,81.187,78.067
393,77.564,82.956,79.094,79.261,80.108,81.852,81.733,82.337,81.065,77.506
393.5,77.376,82.928,79.207,79.027,79.613,81.514,81.147,82.298,81.044,77.528
394,77.43,82.605,79.698,79.401,80.053,81.722,81.267,82.584,81.565,77.378
394.5,77.2,82.249,79.996,80.186,81.044,82.3,81.947,83.125,82.13,77.171
395,77.512,82.15,79.99,80.533,81.829,82.75,82.569,83.177,82.209,77.166
395.5,77.706,82.013,79.679,80.547,82.133,83.004,83.01,83.149,82.073,77.444
396,77.993,81.968,79.343,80.18,81.664,82.859,82.502,82.941,81.508,77.816
396.5,77.932,81.991,79.177,79.576,81.09,82.667,81.754,82.678,81.304,78.082
397,77.493,82.025,79.015,79.265,80.936,82.215,81.269,82.499,81.081,78.045
