system:time_start,LIANG_ALBEDO,NDSI,NDVI,RGND
"Jun 3, 2020",0.772,0.568,-0.018,0.001
"Jun 18, 2020",0.724,0.965,-0.099,-0.011
"Jul 3, 2020",0.575,0.887,-0.088,-0.014
"Jul 10, 2020",0.66,0.406,-0.043,-0.006
"Jul 18, 2020",0.657,0.818,-0.068,0.024
"Jul 20, 2020",0.661,0.958,-0.073,0.031
"Jul 25, 2020",0.681,0.939,-0.056,0.026
"Jul 28, 2020",0.617,0.961,-0.075,0.037
"Jul 30, 2020",0.614,0.958,-0.069,0.039
"Aug 2, 2020",0.568,0.938,-0.085,0.034
"Aug 4, 2020",0.56,0.953,-0.069,0.036
"Aug 9, 2020",0.514,0.689,-0.041,0.018
"Aug 12, 2020",0.406,0.933,-0.064,0.032
"Aug 17, 2020",0.365,0.507,-0.091,-0.009
"Aug 19, 2020",0.285,0.885,-0.147,-0.005
"Aug 22, 2020",0.489,0.302,-0.035,-0.012
"Aug 24, 2020",0.285,0.881,-0.105,0.007
"Aug 27, 2020",0.26,0.867,-0.086,0.014
"Sep 8, 2020",0.497,0.871,-0.043,0.008
"Sep 11, 2020",0.191,0.898,-0.142,-0.003
"Sep 18, 2020",0.208,0.717,-0.063,-0.015
