system:time_start,ALBEDO
"Jun 13, 2020",0.498
"Jun 18, 2020",0.553
"Jun 25, 2020",0.503
"Jul 7, 2020",0.619
"Jul 13, 2020",0.523
"Jul 20, 2020",0.472
"Jul 21, 2020",0.55
"Jul 22, 2020",0.276
"Jul 26, 2020",0.491
"Jul 27, 2020",0.46
"Jul 29, 2020",0.441
"Jul 31, 2020",0.362
"Aug 1, 2020",0.281
"Aug 4, 2020",0.449
"Aug 5, 2020",0.375
"Aug 12, 2020",0.321
"Aug 15, 2020",0.341
"Aug 17, 2020",0.307
"Aug 18, 2020",0.244
"Aug 19, 2020",0.253
"Aug 25, 2020",0.183
"Aug 26, 2020",0.26
"Aug 27, 2020",0.332
"Aug 28, 2020",0.28
"Aug 30, 2020",0.3
"Sep 4, 2020",0.18
"Sep 5, 2020",0.247
"Sep 6, 2020",0.127
"Sep 9, 2020",0.257
"Sep 10, 2020",0.199
"Sep 11, 2020",0.179
"Sep 12, 2020",0.256
"Sep 14, 2020",0.298
"Sep 16, 2020",0.195
"Sep 17, 2020",0.195
"Sep 22, 2020",0.325
"Sep 27, 2020",0.528
"Sep 29, 2020",0.246
