system:time_start,ALBEDO
"Jun 1, 2020",0.593
"Jun 4, 2020",0.736
"Jun 18, 2020",0.601
"Jun 25, 2020",0.572
"Jul 11, 2020",0.534
"Jul 12, 2020",0.266
"Jul 20, 2020",0.525
"Jul 21, 2020",0.303
"Jul 25, 2020",0.544
"Jul 26, 2020",0.396
"Jul 27, 2020",0.515
"Jul 28, 2020",0.416
"Jul 29, 2020",0.504
"Jul 30, 2020",0.455
"Jul 31, 2020",0.485
"Aug 1, 2020",0.521
"Aug 4, 2020",0.373
"Aug 5, 2020",0.455
"Aug 12, 2020",0.419
"Aug 13, 2020",0.309
"Aug 15, 2020",0.338
"Aug 16, 2020",0.368
"Aug 18, 2020",0.262
"Aug 19, 2020",0.345
"Aug 24, 2020",0.254
"Aug 25, 2020",0.148
"Aug 26, 2020",0.282
"Aug 27, 2020",0.208
"Aug 28, 2020",0.3
"Aug 30, 2020",0.35
"Sep 4, 2020",0.215
"Sep 5, 2020",0.193
"Sep 6, 2020",0.259
"Sep 7, 2020",0.466
"Sep 8, 2020",0.416
"Sep 9, 2020",0.258
"Sep 10, 2020",0.189
"Sep 11, 2020",0.241
"Sep 12, 2020",0.17
"Sep 17, 2020",0.258
"Sep 18, 2020",0.215
"Sep 21, 2020",0.171
"Sep 29, 2020",0.394
"Sep 30, 2020",0.431
