system:time_start,RGND_CLOUDMASKED
"Jun 4, 2020",-0.004
"Jun 13, 2020",-0.005
"Jun 18, 2020",-0.008
"Jul 11, 2020",0.021
"Jul 20, 2020",0.035
"Jul 21, 2020",0.037
"Jul 26, 2020",0.043
"Jul 27, 2020",0.047
"Jul 28, 2020",0.037
"Jul 29, 2020",0.04
"Jul 30, 2020",0.038
"Jul 31, 2020",0.046
"Aug 2, 2020",0.03
"Aug 5, 2020",0.031
"Aug 12, 2020",0.022
"Aug 15, 2020",0.02
"Aug 16, 2020",0.027
"Aug 17, 2020",0.021
"Aug 18, 2020",0.06
"Aug 24, 2020",-0.007
"Aug 26, 2020",0.006
"Aug 28, 2020",0.016
"Sep 4, 2020",0.012
"Sep 5, 2020",-0.01
"Sep 9, 2020",-0
"Sep 10, 2020",0.027
"Sep 11, 2020",-0.005
"Sep 24, 2020",-0.011
"Sep 29, 2020",-0.014
"Sep 30, 2020",-0.001
