system:time_start,ALBEDO
"Jun 4, 2020",0.68
"Jun 18, 2020",0.597
"Jun 25, 2020",0.524
"Jul 11, 2020",0.479
"Jul 14, 2020",0.477
"Jul 20, 2020",0.466
"Jul 21, 2020",0.396
"Jul 26, 2020",0.351
"Jul 27, 2020",0.407
"Jul 28, 2020",0.367
"Jul 29, 2020",0.433
"Jul 30, 2020",0.336
"Jul 31, 2020",0.441
"Aug 2, 2020",0.268
"Aug 5, 2020",0.352
"Aug 12, 2020",0.307
"Aug 15, 2020",0.269
"Aug 16, 2020",0.343
"Aug 17, 2020",0.255
"Aug 18, 2020",0.171
"Aug 19, 2020",0.256
"Aug 24, 2020",0.153
"Aug 26, 2020",0.237
"Aug 28, 2020",0.269
"Aug 30, 2020",0.38
"Sep 2, 2020",0.219
"Sep 4, 2020",0.236
"Sep 5, 2020",0.184
"Sep 6, 2020",0.212
"Sep 8, 2020",0.404
"Sep 9, 2020",0.237
"Sep 10, 2020",0.202
"Sep 11, 2020",0.226
"Sep 12, 2020",0.192
"Sep 16, 2020",0.2
"Sep 17, 2020",0.256
"Sep 18, 2020",0.227
"Sep 24, 2020",0.558
"Sep 27, 2020",0.602
"Sep 29, 2020",0.471
"Sep 30, 2020",0.351
