system:time_start,RGND_CLOUDMASKED
"Jun 4, 2020",0
"Jun 13, 2020",0.001
"Jun 18, 2020",0.001
"Jul 11, 2020",0.011
"Jul 20, 2020",0.013
"Jul 21, 2020",0.015
"Jul 26, 2020",0.016
"Jul 27, 2020",0.026
"Jul 28, 2020",0.013
"Jul 29, 2020",0.017
"Jul 30, 2020",0.014
"Jul 31, 2020",0.018
"Aug 2, 2020",0.013
"Aug 5, 2020",0.013
"Aug 12, 2020",0.009
"Aug 15, 2020",0.004
"Aug 16, 2020",0.007
"Aug 17, 2020",0.006
"Aug 18, 2020",0.001
"Aug 24, 2020",0
"Aug 26, 2020",0.006
"Aug 28, 2020",0.006
"Sep 4, 2020",0.002
"Sep 5, 2020",0
"Sep 9, 2020",0.001
"Sep 10, 2020",0.005
"Sep 11, 2020",0.003
"Sep 24, 2020",0
"Sep 29, 2020",0
"Sep 30, 2020",0.001
