system:time_start,ALBEDO
"Jun 13, 2020",0.507
"Jun 18, 2020",0.566
"Jun 25, 2020",0.521
"Jul 7, 2020",0.616
"Jul 13, 2020",0.537
"Jul 20, 2020",0.488
"Jul 21, 2020",0.569
"Jul 22, 2020",0.285
"Jul 26, 2020",0.499
"Jul 27, 2020",0.482
"Jul 29, 2020",0.459
"Jul 31, 2020",0.384
"Aug 1, 2020",0.3
"Aug 4, 2020",0.47
"Aug 5, 2020",0.411
"Aug 12, 2020",0.326
"Aug 15, 2020",0.37
"Aug 17, 2020",0.342
"Aug 18, 2020",0.249
"Aug 19, 2020",0.255
"Aug 25, 2020",0.192
"Aug 26, 2020",0.288
"Aug 27, 2020",0.337
"Aug 28, 2020",0.29
"Aug 30, 2020",0.31
"Sep 4, 2020",0.193
"Sep 5, 2020",0.243
"Sep 6, 2020",0.13
"Sep 9, 2020",0.274
"Sep 10, 2020",0.207
"Sep 11, 2020",0.179
"Sep 12, 2020",0.254
"Sep 14, 2020",0.296
"Sep 16, 2020",0.198
"Sep 17, 2020",0.196
"Sep 22, 2020",0.368
"Sep 27, 2020",0.493
"Sep 29, 2020",0.257
