system:time_start,RGND_CLOUDMASKED
"Jun 4, 2020",-0.001
"Jun 13, 2020",0.001
"Jun 18, 2020",-0.011
"Jul 11, 2020",0.01
"Jul 25, 2020",0.026
"Jul 26, 2020",0.028
"Jul 27, 2020",0.03
"Jul 29, 2020",0.03
"Jul 30, 2020",0.036
"Jul 31, 2020",0.028
"Aug 1, 2020",0.032
"Aug 2, 2020",0.038
"Aug 4, 2020",0.03
"Aug 5, 2020",0.027
"Aug 12, 2020",0.035
"Aug 13, 2020",0.021
"Aug 15, 2020",0.023
"Aug 16, 2020",0.02
"Aug 18, 2020",0.01
"Aug 19, 2020",0.02
"Aug 24, 2020",0.019
"Aug 25, 2020",0.01
"Aug 26, 2020",0.013
"Aug 27, 2020",0.016
"Aug 28, 2020",0.019
"Sep 4, 2020",0.008
"Sep 6, 2020",0.017
"Sep 7, 2020",-0.007
"Sep 9, 2020",0.002
"Sep 10, 2020",0.021
"Sep 11, 2020",0.014
"Sep 12, 2020",0.01
"Sep 29, 2020",-0.015
"Sep 30, 2020",0.001
