system:time_start,NDSI,NDVI,RGND
"Jun 1, 2020",0.546,-0.033,-0.009
"Jun 9, 2020",0.52,-0.035,-0.001
"Jun 17, 2020",0.421,-0.022,-0.004
"Jun 25, 2020",0.561,-0.034,0.005
"Jul 3, 2020",0.436,-0.033,-0.003
"Jul 11, 2020",0.439,-0.023,0.001
"Jul 19, 2020",0.571,-0.042,0.014
"Jul 27, 2020",0.595,-0.026,0.027
"Aug 4, 2020",0.486,-0.015,0.02
"Aug 12, 2020",0.543,-0.052,0.02
"Aug 20, 2020",0.527,-0.045,0.016
"Aug 28, 2020",0.424,-0.036,0.018
"Sep 5, 2020",0.421,-0.025,0.03
"Sep 13, 2020",0.417,-0.029,0.005
"Sep 21, 2020",0.379,0.01,0.021
"Sep 29, 2020",0.434,-0.016,0.016
