system:time_start,NDSI,NDVI,RGND
"Jun 1, 2020",0.486,-0.03,-0.002
"Jun 9, 2020",0.66,-0.043,-0.006
"Jun 17, 2020",0.354,-0.021,-0.007
"Jun 25, 2020",0.539,-0.035,0.005
"Jul 3, 2020",0.616,-0.079,0.002
"Jul 11, 2020",0.567,-0.03,0.013
"Jul 19, 2020",0.813,-0.047,0.049
"Jul 27, 2020",0.692,-0.05,0.032
"Aug 4, 2020",0.608,-0.038,0.036
"Aug 12, 2020",0.67,-0.077,0.044
"Aug 20, 2020",0.73,-0.097,0.007
"Aug 28, 2020",0.772,-0.086,0.007
"Sep 5, 2020",0.684,-0.116,0.015
"Sep 13, 2020",0.599,-0.059,-0
"Sep 21, 2020",0.282,0.006,0.002
"Sep 29, 2020",0.705,-0.039,0.01
