system:time_start,RGND_CLOUDMASKED
"Jun 4, 2020",0.002
"Jun 13, 2020",0.002
"Jun 18, 2020",0
"Jul 11, 2020",0.013
"Jul 25, 2020",0.025
"Jul 26, 2020",0.027
"Jul 27, 2020",0.027
"Jul 29, 2020",0.029
"Jul 30, 2020",0.035
"Jul 31, 2020",0.024
"Aug 1, 2020",0.033
"Aug 2, 2020",0.03
"Aug 4, 2020",0.016
"Aug 5, 2020",0.031
"Aug 12, 2020",0.025
"Aug 13, 2020",0.003
"Aug 15, 2020",0.024
"Aug 16, 2020",0
"Aug 18, 2020",0.009
"Aug 19, 2020",0.025
"Aug 24, 2020",0.008
"Aug 25, 2020",0
"Aug 26, 2020",0.012
"Aug 27, 2020",0
"Aug 28, 2020",0.007
"Sep 4, 2020",0
"Sep 6, 2020",0.01
"Sep 7, 2020",0.006
"Sep 9, 2020",0
"Sep 10, 2020",0.005
"Sep 11, 2020",0
"Sep 12, 2020",0
"Sep 29, 2020",0.001
"Sep 30, 2020",0.004
