system:time_start,RGND_CLOUDMASKED
"Jun 4, 2020",5
"Jun 13, 2020",3
"Jun 18, 2020",5
"Jul 11, 2020",5
"Jul 20, 2020",2
"Jul 21, 2020",3
"Jul 26, 2020",5
"Jul 27, 2020",5
"Jul 28, 2020",3
"Jul 29, 2020",6
"Jul 30, 2020",5
"Jul 31, 2020",3
"Aug 2, 2020",5
"Aug 5, 2020",7
"Aug 12, 2020",7
"Aug 15, 2020",3
"Aug 16, 2020",7
"Aug 17, 2020",2
"Aug 18, 2020",6
"Aug 24, 2020",7
"Aug 26, 2020",3
"Aug 28, 2020",7
"Sep 2, 2020",0
"Sep 4, 2020",7
"Sep 5, 2020",3
"Sep 9, 2020",5
"Sep 10, 2020",5
"Sep 11, 2020",2
"Sep 29, 2020",5
"Sep 30, 2020",7
