Band Value,trueRGND Count
-0.105,0.012
-0.104,
-0.102,
-0.1,
-0.098,
-0.096,0.522
-0.094,
-0.092,
-0.09,0.424
-0.088,
-0.086,
-0.084,0.125
-0.082,
-0.08,0.125
-0.078,
-0.076,
-0.074,0.463
-0.072,0.537
-0.07,0.188
-0.068,
-0.066,
-0.064,
-0.063,0.388
-0.061,0.902
-0.059,0.388
-0.057,0.098
-0.055,0.345
-0.053,0.169
-0.051,0.443
-0.049,
-0.047,0.749
-0.045,0.608
-0.043,
-0.041,1.267
-0.039,2.835
-0.037,1.294
-0.035,0.412
-0.033,2.443
-0.031,2.945
-0.029,2.075
-0.027,2.573
-0.025,1.306
-0.023,2.259
-0.021,3.439
-0.02,4.373
-0.018,5.639
-0.016,7.498
-0.014,8.294
-0.012,8.129
-0.01,10.341
-0.008,7.165
-0.006,12.075
-0.004,13.859
-0.002,19.275
0,20.788
0.002,17.471
0.004,31.663
0.006,25.133
0.008,34.439
0.01,37.867
0.012,54.424
0.014,78.675
0.016,109.824
0.018,130.769
0.02,180.867
0.021,207.643
0.023,435.929
0.025,"1,253.239"
0.027,"1,252.369"
0.029,"1,305.949"
0.031,"1,356.796"
0.033,"1,400.467"
0.035,"1,443.675"
0.037,"1,379.737"
0.039,"1,320.427"
0.041,"1,350.298"
0.043,"1,363.69"
0.045,"1,379.467"
0.047,"1,295.2"
0.049,"1,250.678"
0.051,"1,208.365"
0.053,"1,094.925"
0.055,"1,180.541"
0.057,977.722
0.059,866.596
0.061,825.725
0.063,762.208
0.064,671.141
0.066,601.788
0.068,521.835
0.07,499.043
0.072,464.6
0.074,350.051
0.076,346.773
0.078,280.173
0.08,259.027
0.082,238.243
0.084,177.275
0.086,130.847
0.088,116.867
0.09,90.886
0.092,70.898
0.094,65.914
0.096,52.118
0.098,64.8
0.1,51.914
0.102,36.529
0.104,21.62
0.105,16.149
0.107,13.153
0.109,11.655
0.111,12.431
0.113,4.671
0.115,11.11
0.117,5.941
0.119,6.361
0.121,3.62
0.123,
0.125,2.937
0.127,1.282
0.129,0.192
0.131,0.035
0.133,3.255
0.135,2
0.137,3
0.139,2
0.141,
0.143,1.769
0.145,4.286
0.146,3.325
0.148,
0.15,
0.152,1
0.154,1.886
0.156,
0.158,3.231
0.16,
0.162,1
0.164,
0.166,
0.168,
0.17,
0.172,
0.174,
0.176,
0.178,
0.18,
0.182,
0.184,
0.186,
0.188,
0.189,1
0.191,0.141
0.193,
0.195,
0.197,
0.199,
0.201,
0.203,
0.205,
0.207,
0.209,
0.211,
0.213,
0.215,
0.217,
0.219,
0.221,
0.223,
0.225,
0.227,
0.229,
0.23,
0.232,
0.234,
0.236,
0.238,
0.24,
0.242,
0.244,1
0.246,
0.248,
0.25,
0.252,
0.254,
0.256,
0.258,
0.26,
0.262,
0.264,
0.266,
0.268,
0.27,
0.271,
0.273,
0.275,1
