Band Value,RGND Count
0,"1,529.353"
0.001,192.533
0.002,195.569
0.003,210.541
0.004,221.09
0.005,207.682
0.006,213.694
0.007,243.588
0.008,239.137
0.009,228.776
0.01,221.416
0.011,219.118
0.012,220.761
0.013,228.929
0.014,233.749
0.015,252.745
0.016,249.62
0.017,240.576
0.018,233.29
0.019,255.482
0.02,260.878
0.021,269.824
0.021,248.863
0.022,259.2
0.023,282.059
0.024,271.639
0.025,269.694
0.026,309.408
0.027,282.965
0.028,310.8
0.029,326.082
0.03,317.173
0.031,308.29
0.032,348.471
0.033,343.318
0.034,306.49
0.035,315.498
0.036,334.18
0.037,335.741
0.038,342.667
0.039,319.671
0.04,316.102
0.041,302.686
0.042,350.667
0.043,316.024
0.044,342.255
0.045,331.824
0.046,335.663
0.047,303.424
0.048,322.835
0.049,323.659
0.05,313.357
0.051,316.584
0.052,292.043
0.053,266.925
0.054,260.11
0.055,290.686
0.056,301.176
0.057,240.098
0.058,217.761
0.059,232.2
0.06,216.29
0.061,198.878
0.062,189.192
0.063,199.337
0.063,164.835
0.064,180.82
0.065,160.384
0.066,144.502
0.067,140.878
0.068,127.78
0.069,127.863
0.07,115.004
0.071,121.278
0.072,105.043
0.073,112.012
0.074,81.486
0.075,87
0.076,101.522
0.077,75.055
0.078,64.471
0.079,66.165
0.08,58.337
0.081,54.365
0.082,56.204
0.083,48.024
0.084,38.165
0.085,33.569
0.086,37
0.087,19.839
0.088,27
0.089,29.565
0.09,15.988
0.091,17
0.092,16.243
0.093,15.012
0.094,15.188
0.095,13
0.096,13.306
0.097,12.655
0.098,12.11
0.099,10
0.1,10.094
0.101,8
0.102,3
0.103,6.616
0.104,2
0.104,3
0.105,3
0.106,2
0.107,1
0.108,3
0.109,1
0.11,
0.111,
0.112,
0.113,2
0.114,
0.115,
0.116,2
0.117,
0.118,
0.119,
0.12,
0.121,
0.122,0.757
0.123,
0.124,
0.125,
0.126,
0.127,
0.128,
0.129,
0.13,
0.131,
0.132,
0.133,
0.134,
0.135,
0.136,
0.137,
0.138,
0.139,
0.14,
0.141,
0.142,
0.143,
0.144,1
