Band Value,trueRGND Count
-0.127,0.486
-0.125,
-0.123,
-0.121,
-0.119,
-0.117,
-0.115,
-0.113,0.576
-0.111,
-0.109,
-0.107,
-0.105,0.016
-0.104,
-0.102,
-0.1,
-0.098,
-0.096,
-0.094,
-0.092,2.118
-0.09,
-0.088,
-0.086,
-0.084,
-0.082,
-0.08,2
-0.078,
-0.076,0.82
-0.074,1
-0.072,
-0.07,
-0.068,3.125
-0.066,
-0.064,6.314
-0.063,
-0.061,1.796
-0.059,3.035
-0.057,2.745
-0.055,6.878
-0.053,6.212
-0.051,8.557
-0.049,1.475
-0.047,3.98
-0.045,1.251
-0.043,4.557
-0.041,3.357
-0.039,7.369
-0.037,6.961
-0.035,14.302
-0.033,14.753
-0.031,20.984
-0.029,23.882
-0.027,19.439
-0.025,40.051
-0.023,48.051
-0.021,50.129
-0.02,92.384
-0.018,93.808
-0.016,156.671
-0.014,206.941
-0.012,277.835
-0.01,382.243
-0.008,485.855
-0.006,593.047
-0.004,649.722
-0.002,622.545
0,720.141
0.002,574.765
0.004,484.337
0.006,483.784
0.008,392.035
0.01,318.525
0.012,283.816
0.014,201.969
0.016,191.153
0.018,160.863
0.02,93.384
0.021,96.949
0.023,58.353
0.025,75.718
0.027,54.247
0.029,52.557
0.031,49.729
0.033,26.506
0.035,21.263
0.037,9.737
0.039,11.875
0.041,18.949
0.043,7.451
0.045,13.969
0.047,9.804
0.049,7.631
0.051,9.22
0.053,8.592
0.055,6.627
0.057,11.251
0.059,5.8
0.061,3
0.063,2.663
0.064,4.918
0.066,4.216
0.068,
0.07,1.059
0.072,3.992
0.074,
0.076,1.325
0.078,
0.08,2.416
0.082,0.345
0.084,2.973
0.086,1
0.088,2
0.09,
0.092,
0.094,1.271
0.096,
0.098,2
0.1,
0.102,0.863
0.104,
0.105,
0.107,
0.109,0.953
0.111,3
0.113,1
0.115,
0.117,
0.119,
0.121,
0.123,
0.125,0.89
0.127,2
0.129,1
0.131,
0.133,0.302
0.135,
0.137,
0.139,
0.141,
0.143,
0.145,
0.146,
0.148,
0.15,
0.152,
0.154,
0.156,1
0.158,1.722
0.16,
0.162,1.086
0.164,
0.166,
0.168,
0.17,
0.172,
0.174,
0.176,
0.178,
0.18,
0.182,
0.184,
0.186,
0.188,
0.189,0.694
0.191,2
0.193,2.796
