Band Value,trueRGND Count
-0.054,1
-0.053,1
-0.052,1.996
-0.051,
-0.05,
-0.049,
-0.048,3
-0.047,
-0.046,0.498
-0.045,2
-0.044,9
-0.043,
-0.042,1
-0.041,
-0.04,4.353
-0.039,
-0.038,3
-0.037,4
-0.036,6
-0.035,1
-0.034,8
-0.033,11
-0.032,11.024
-0.031,4.522
-0.03,2
-0.029,4.702
-0.028,7
-0.027,7
-0.026,5
-0.025,19.302
-0.024,11.145
-0.023,4.537
-0.022,8
-0.021,8.075
-0.021,10.102
-0.02,11.075
-0.019,13.525
-0.018,11.867
-0.017,11.753
-0.016,15.137
-0.015,10.776
-0.014,12.914
-0.013,15.4
-0.012,11.404
-0.011,24.396
-0.01,28.58
-0.009,15.553
-0.008,20.788
-0.007,26.314
-0.006,37.078
-0.005,28.275
-0.004,19.973
-0.003,20.988
-0.002,25.224
-0.001,24.467
0,29.867
0.001,17.318
0.002,25.486
0.003,15.518
0.004,21.302
0.005,22.424
0.006,24.039
0.007,24.698
0.008,19.816
0.009,18
0.01,18.447
0.011,24.976
0.012,12.671
0.013,11.529
0.014,12.271
0.015,14.776
0.016,12.788
0.017,11.835
0.018,13.082
0.019,13
0.02,8.396
0.021,17.973
0.021,7
0.022,9.624
0.023,12.263
0.024,3
0.025,4.898
0.026,9.333
0.027,8.059
0.028,3.694
0.029,7.549
0.03,3
0.031,1
0.032,
0.033,2
0.034,0.18
0.035,2
0.036,0.988
0.037,1
0.038,1.969
0.039,2
0.04,
0.041,1
0.042,2
0.043,
0.044,
0.045,
0.046,
0.047,0.976
0.048,1
0.049,
0.05,2
0.051,2
0.052,
0.053,
0.054,2
0.055,
0.056,
0.057,
0.058,
0.059,
0.06,
0.061,
0.062,
0.063,
0.063,
0.064,
0.065,
0.066,
0.067,
0.068,
0.069,
0.07,
0.071,
0.072,
0.073,
0.074,
0.075,
0.076,1
