Band Value,trueRGND Count
-0.037,2
-0.036,1
-0.035,
-0.034,1
-0.033,
-0.032,
-0.031,
-0.03,
-0.029,0.251
-0.028,
-0.027,
-0.026,
-0.025,
-0.024,
-0.023,
-0.022,0.004
-0.021,
-0.021,
-0.02,4.537
-0.019,0.137
-0.018,1
-0.017,3.145
-0.016,
-0.015,1.976
-0.014,1.161
-0.013,1.271
-0.012,1.322
-0.011,
-0.01,3.694
-0.009,1.682
-0.008,0.859
-0.007,6.231
-0.006,3.369
-0.005,9.443
-0.004,6.435
-0.003,15.475
-0.002,8.22
-0.001,10.318
0,20.341
0.001,26.024
0.002,25.376
0.003,25.894
0.004,33.941
0.005,26.494
0.006,31.922
0.007,31.196
0.008,32.137
0.009,25.51
0.01,40.671
0.011,34.561
0.012,27
0.013,26.98
0.014,35.725
0.015,26.953
0.016,36.224
0.017,41.894
0.018,30.745
0.019,29.635
0.02,28.635
0.021,35.702
0.021,34.808
0.022,27.427
0.023,21.8
0.024,31.894
0.025,35.341
0.026,20.925
0.027,37.424
0.028,21.969
0.029,16.98
0.03,26.569
0.031,20.294
0.032,28.843
0.033,21.957
0.034,23.29
0.035,17.867
0.036,18.384
0.037,28
0.038,18.631
0.039,22.722
0.04,31.443
0.041,19.765
0.042,22.871
0.043,20.369
0.044,24.239
0.045,22.976
0.046,19.792
0.047,12.82
0.048,27.463
0.049,20.047
0.05,27.8
0.051,17.804
0.052,19.149
0.053,13.686
0.054,13.647
0.055,12.984
0.056,16
0.057,18.431
0.058,12.02
0.059,22.114
0.06,8.957
0.061,12
0.062,7.875
0.063,13
0.063,17.659
0.064,15.584
0.065,6.557
0.066,14.553
0.067,9.565
0.068,8.157
0.069,8.875
0.07,8.678
0.071,4.839
0.072,7
0.073,7.906
0.074,9.008
0.075,2.549
0.076,5
0.077,6
0.078,2
0.079,3
0.08,2
0.081,8.365
0.082,1
0.083,4.251
0.084,6.737
0.085,1.816
0.086,
0.087,
0.088,1.231
0.089,2.169
0.09,3.055
0.091,0.192
0.092,
0.093,
0.094,3.114
0.095,2.239
0.096,5
0.097,
0.098,2
0.099,2.4
0.1,
0.101,
0.102,
0.103,7
0.104,
0.104,2
0.105,1
0.106,1.255
0.107,
0.108,
0.109,1
0.11,1
0.111,
0.112,
0.113,
0.114,
0.115,
0.116,
0.117,
0.118,
0.119,
0.12,
0.121,
0.122,
0.123,
0.124,
0.125,
0.126,
0.127,
0.128,
0.129,
0.13,
0.131,2
0.132,
0.133,
0.134,
0.135,
0.136,
0.137,
0.138,1
