Band Value,trueRGND Count
-0.281,0.004
-0.279,2
-0.277,4
-0.275,2
-0.273,1.996
-0.271,1.616
-0.27,3.729
-0.268,1.549
-0.266,4.357
-0.264,
-0.262,0.663
-0.26,11.11
-0.258,6.898
-0.256,9.059
-0.254,3.988
-0.252,6.635
-0.25,2.055
-0.248,3.902
-0.246,5.196
-0.244,2.286
-0.242,2.369
-0.24,2.792
-0.238,2.929
-0.236,2.263
-0.234,2.349
-0.232,2.337
-0.23,5.027
-0.229,0.027
-0.227,0.569
-0.225,0.216
-0.223,
-0.221,
-0.219,
-0.217,1
-0.215,3.922
-0.213,0.004
-0.211,0.639
-0.209,2.945
-0.207,
-0.205,0.098
-0.203,0.863
-0.201,0.443
-0.199,
-0.197,2.875
-0.195,2.859
-0.193,
-0.191,
-0.189,1.718
-0.188,1.549
-0.186,0.996
-0.184,0.584
-0.182,1.278
-0.18,
-0.178,
-0.176,
-0.174,
-0.172,2
-0.17,
-0.168,2.098
-0.166,
-0.164,
-0.162,
-0.16,
-0.158,0.353
-0.156,
-0.154,
-0.152,
-0.15,
-0.148,0.098
-0.146,0.098
-0.145,
-0.143,
-0.141,0.835
-0.139,0.165
-0.137,0.357
-0.135,2.373
-0.133,1.337
-0.131,
-0.129,5.318
-0.127,3.561
-0.125,2.184
-0.123,2
-0.121,3.396
-0.119,0.02
-0.117,0.122
-0.115,3.137
-0.113,3.192
-0.111,0.933
-0.109,1.098
-0.107,
-0.105,1.992
-0.104,0.043
-0.102,
-0.1,
-0.098,
-0.096,0.024
-0.094,
-0.092,
-0.09,0.459
-0.088,1.929
-0.086,0.384
-0.084,3
-0.082,0.678
-0.08,
-0.078,1
-0.076,2.6
-0.074,0.416
-0.072,6.157
-0.07,2
-0.068,3.384
-0.066,5.549
-0.064,2.424
-0.063,5.49
-0.061,7.51
-0.059,12.875
-0.057,16.702
-0.055,11.38
-0.053,12.722
-0.051,12.396
-0.049,5
-0.047,7.29
-0.045,17.02
-0.043,10.275
-0.041,14.149
-0.039,8.961
-0.037,5.024
-0.035,8.882
-0.033,6.353
-0.031,8.302
-0.029,1.204
-0.027,3.294
-0.025,2.863
-0.023,4.576
-0.021,3.541
-0.02,1.984
-0.018,2
-0.016,0.824
-0.014,0.427
-0.012,1.11
-0.01,0.024
-0.008,1.333
-0.006,0.855
-0.004,
-0.002,0.145
0,
0.002,
0.004,
0.006,
0.008,0.573
