system:time_start,dayl
"Jun 1, 2020","57,488.263"
"Jun 2, 2020","57,589.039"
"Jun 3, 2020","57,684.987"
"Jun 4, 2020","57,776.025"
"Jun 5, 2020","57,862.058"
"Jun 6, 2020","57,943.025"
"Jun 7, 2020","58,018.85"
"Jun 8, 2020","58,089.457"
"Jun 9, 2020","58,154.782"
"Jun 10, 2020","58,214.774"
"Jun 11, 2020","58,269.357"
"Jun 12, 2020","58,318.5"
"Jun 13, 2020","58,362.144"
"Jun 14, 2020","58,400.248"
"Jun 15, 2020","58,432.778"
"Jun 16, 2020","58,459.691"
"Jun 17, 2020","58,480.985"
"Jun 18, 2020","58,496.615"
"Jun 19, 2020","58,506.565"
"Jun 20, 2020","58,510.846"
"Jun 21, 2020","58,509.436"
"Jun 22, 2020","58,502.346"
"Jun 23, 2020","58,489.575"
"Jun 24, 2020","58,471.133"
"Jun 25, 2020","58,447.06"
"Jun 26, 2020","58,417.348"
"Jun 27, 2020","58,382.056"
"Jun 28, 2020","58,341.201"
"Jun 29, 2020","58,294.831"
"Jun 30, 2020","58,242.987"
"Jul 1, 2020","58,185.714"
"Jul 2, 2020","58,123.069"
"Jul 3, 2020","58,055.115"
"Jul 4, 2020","57,981.918"
"Jul 5, 2020","57,903.541"
"Jul 6, 2020","57,820.047"
"Jul 7, 2020","57,731.53"
"Jul 8, 2020","57,638.043"
"Jul 9, 2020","57,539.696"
"Jul 10, 2020","57,436.548"
"Jul 11, 2020","57,328.701"
"Jul 12, 2020","57,216.236"
"Jul 13, 2020","57,099.256"
"Jul 14, 2020","56,977.837"
"Jul 15, 2020","56,852.091"
"Jul 16, 2020","56,722.113"
"Jul 17, 2020","56,587.983"
"Jul 18, 2020","56,449.814"
"Jul 19, 2020","56,307.703"
"Jul 20, 2020","56,161.756"
"Jul 21, 2020","56,012.066"
"Jul 22, 2020","55,858.725"
"Jul 23, 2020","55,701.855"
"Jul 24, 2020","55,541.536"
"Jul 25, 2020","55,377.874"
"Jul 26, 2020","55,210.972"
"Jul 27, 2020","55,040.923"
"Jul 28, 2020","54,867.822"
"Jul 29, 2020","54,691.772"
"Jul 30, 2020","54,512.871"
"Jul 31, 2020","54,331.199"
"Aug 1, 2020","54,146.868"
"Aug 2, 2020","53,959.946"
"Aug 3, 2020","53,770.544"
"Aug 4, 2020","53,578.736"
"Aug 5, 2020","53,384.611"
"Aug 6, 2020","53,188.259"
"Aug 7, 2020","52,989.767"
"Aug 8, 2020","52,789.208"
"Aug 9, 2020","52,586.654"
"Aug 10, 2020","52,382.204"
"Aug 11, 2020","52,175.911"
"Aug 12, 2020","51,967.86"
"Aug 13, 2020","51,758.129"
"Aug 14, 2020","51,546.774"
"Aug 15, 2020","51,333.883"
"Aug 16, 2020","51,119.499"
"Aug 17, 2020","50,903.71"
"Aug 18, 2020","50,686.557"
"Aug 19, 2020","50,468.115"
"Aug 20, 2020","50,248.443"
"Aug 21, 2020","50,027.591"
"Aug 22, 2020","49,805.618"
"Aug 23, 2020","49,582.574"
"Aug 24, 2020","49,358.535"
"Aug 25, 2020","49,133.522"
"Aug 26, 2020","48,907.6"
"Aug 27, 2020","48,680.807"
"Aug 28, 2020","48,453.205"
"Aug 29, 2020","48,224.822"
"Aug 30, 2020","47,995.719"
"Aug 31, 2020","47,765.93"
"Sep 1, 2020","47,535.496"
"Sep 2, 2020","47,304.452"
"Sep 3, 2020","47,072.85"
"Sep 4, 2020","46,840.721"
"Sep 5, 2020","46,608.099"
"Sep 6, 2020","46,375.024"
"Sep 7, 2020","46,141.531"
"Sep 8, 2020","45,907.652"
"Sep 9, 2020","45,673.417"
"Sep 10, 2020","45,438.878"
"Sep 11, 2020","45,204.034"
"Sep 12, 2020","44,968.951"
"Sep 13, 2020","44,733.638"
"Sep 14, 2020","44,498.137"
"Sep 15, 2020","44,262.477"
"Sep 16, 2020","44,026.672"
"Sep 17, 2020","43,790.78"
"Sep 18, 2020","43,554.807"
"Sep 19, 2020","43,318.788"
"Sep 20, 2020","43,082.763"
"Sep 21, 2020","42,846.743"
"Sep 22, 2020","42,610.77"
"Sep 23, 2020","42,374.868"
"Sep 24, 2020","42,139.074"
"Sep 25, 2020","41,903.402"
"Sep 26, 2020","41,667.901"
"Sep 27, 2020","41,432.588"
"Sep 28, 2020","41,197.506"
"Sep 29, 2020","40,962.665"
"Sep 30, 2020","40,728.122"
