system:time_start,prcp
"Jun 1, 2020",6.652
"Jun 2, 2020",5.629
"Jun 3, 2020",3.369
"Jun 4, 2020",3.72
"Jun 5, 2020",8.796
"Jun 6, 2020",8.819
"Jun 7, 2020",9
"Jun 8, 2020",8.467
"Jun 9, 2020",0
"Jun 10, 2020",0
"Jun 11, 2020",10.605
"Jun 12, 2020",3.306
"Jun 13, 2020",9.846
"Jun 14, 2020",3.939
"Jun 15, 2020",0
"Jun 16, 2020",0
"Jun 17, 2020",0
"Jun 18, 2020",0
"Jun 19, 2020",0
"Jun 20, 2020",2.131
"Jun 21, 2020",0
"Jun 22, 2020",0
"Jun 23, 2020",1.869
"Jun 24, 2020",2.02
"Jun 25, 2020",0
"Jun 26, 2020",2.701
"Jun 27, 2020",5.694
"Jun 28, 2020",2.05
"Jun 29, 2020",0
"Jun 30, 2020",7.297
"Jul 1, 2020",3.797
"Jul 2, 2020",0.869
"Jul 3, 2020",0
"Jul 4, 2020",1.719
"Jul 5, 2020",0
"Jul 6, 2020",5.688
"Jul 7, 2020",12.451
"Jul 8, 2020",3.987
"Jul 9, 2020",5.503
"Jul 10, 2020",0
"Jul 11, 2020",1.366
"Jul 12, 2020",1.54
"Jul 13, 2020",0
"Jul 14, 2020",0
"Jul 15, 2020",0
"Jul 16, 2020",3.457
"Jul 17, 2020",1.128
"Jul 18, 2020",0
"Jul 19, 2020",0
"Jul 20, 2020",0
"Jul 21, 2020",0
"Jul 22, 2020",0
"Jul 23, 2020",0
"Jul 24, 2020",2.226
"Jul 25, 2020",0
"Jul 26, 2020",0
"Jul 27, 2020",0
"Jul 28, 2020",0
"Jul 29, 2020",0
"Jul 30, 2020",0
"Jul 31, 2020",0
"Aug 1, 2020",0
"Aug 2, 2020",0
"Aug 3, 2020",0
"Aug 4, 2020",0
"Aug 5, 2020",0
"Aug 6, 2020",14.469
"Aug 7, 2020",1.005
"Aug 8, 2020",0
"Aug 9, 2020",0
"Aug 10, 2020",0
"Aug 11, 2020",1.46
"Aug 12, 2020",0
"Aug 13, 2020",0
"Aug 14, 2020",0
"Aug 15, 2020",0
"Aug 16, 2020",0
"Aug 17, 2020",3.286
"Aug 18, 2020",0
"Aug 19, 2020",0
"Aug 20, 2020",0
"Aug 21, 2020",4.522
"Aug 22, 2020",2.289
"Aug 23, 2020",0
"Aug 24, 2020",0
"Aug 25, 2020",0
"Aug 26, 2020",0
"Aug 27, 2020",0
"Aug 28, 2020",0
"Aug 29, 2020",0
"Aug 30, 2020",0
"Aug 31, 2020",0
"Sep 1, 2020",0
"Sep 2, 2020",0
"Sep 3, 2020",0
"Sep 4, 2020",0
"Sep 5, 2020",0
"Sep 6, 2020",9.653
"Sep 7, 2020",0
"Sep 8, 2020",0
"Sep 9, 2020",0
"Sep 10, 2020",0
"Sep 11, 2020",0
"Sep 12, 2020",0
"Sep 13, 2020",0
"Sep 14, 2020",0
"Sep 15, 2020",0
"Sep 16, 2020",0
"Sep 17, 2020",0
"Sep 18, 2020",0
"Sep 19, 2020",9.3
"Sep 20, 2020",2.379
"Sep 21, 2020",0
"Sep 22, 2020",0
"Sep 23, 2020",7.693
"Sep 24, 2020",4.369
"Sep 25, 2020",5.226
"Sep 26, 2020",4.256
"Sep 27, 2020",0
"Sep 28, 2020",0
"Sep 29, 2020",0
"Sep 30, 2020",0
