system:time_start,tmax
"Jun 1, 2020",4.959
"Jun 2, 2020",7.821
"Jun 3, 2020",2.677
"Jun 4, 2020",6.275
"Jun 5, 2020",5.993
"Jun 6, 2020",6.847
"Jun 7, 2020",3.548
"Jun 8, 2020",4.776
"Jun 9, 2020",1.036
"Jun 10, 2020",7.377
"Jun 11, 2020",7.956
"Jun 12, 2020",12.934
"Jun 13, 2020",5.718
"Jun 14, 2020",2.298
"Jun 15, 2020",2.255
"Jun 16, 2020",6.389
"Jun 17, 2020",7.218
"Jun 18, 2020",9.395
"Jun 19, 2020",11.654
"Jun 20, 2020",6.559
"Jun 21, 2020",10.601
"Jun 22, 2020",13.002
"Jun 23, 2020",12.649
"Jun 24, 2020",8.888
"Jun 25, 2020",14.06
"Jun 26, 2020",12.486
"Jun 27, 2020",8.237
"Jun 28, 2020",2.361
"Jun 29, 2020",7.877
"Jun 30, 2020",8.819
"Jul 1, 2020",2.483
"Jul 2, 2020",1.949
"Jul 3, 2020",8.121
"Jul 4, 2020",5.473
"Jul 5, 2020",9.942
"Jul 6, 2020",12.149
"Jul 7, 2020",10.476
"Jul 8, 2020",8.04
"Jul 9, 2020",7.797
"Jul 10, 2020",10.591
"Jul 11, 2020",13.135
"Jul 12, 2020",10.275
"Jul 13, 2020",5.779
"Jul 14, 2020",10.8
"Jul 15, 2020",9.548
"Jul 16, 2020",12.498
"Jul 17, 2020",9.23
"Jul 18, 2020",11.648
"Jul 19, 2020",11.471
"Jul 20, 2020",13.6
"Jul 21, 2020",15.389
"Jul 22, 2020",16.774
"Jul 23, 2020",15.654
"Jul 24, 2020",9.602
"Jul 25, 2020",9.877
"Jul 26, 2020",15.313
"Jul 27, 2020",19.11
"Jul 28, 2020",19.016
"Jul 29, 2020",19.424
"Jul 30, 2020",20.175
"Jul 31, 2020",19.405
"Aug 1, 2020",20.695
"Aug 2, 2020",20.065
"Aug 3, 2020",15.209
"Aug 4, 2020",15.728
"Aug 5, 2020",19.263
"Aug 6, 2020",15.507
"Aug 7, 2020",7.626
"Aug 8, 2020",8.876
"Aug 9, 2020",9.847
"Aug 10, 2020",11.997
"Aug 11, 2020",10.593
"Aug 12, 2020",9.455
"Aug 13, 2020",9.12
"Aug 14, 2020",11.184
"Aug 15, 2020",16.065
"Aug 16, 2020",18.021
"Aug 17, 2020",18.705
"Aug 18, 2020",18.766
"Aug 19, 2020",16.67
"Aug 20, 2020",17.192
"Aug 21, 2020",13.334
"Aug 22, 2020",12.859
"Aug 23, 2020",13.266
"Aug 24, 2020",13.464
"Aug 25, 2020",14.206
"Aug 26, 2020",12.863
"Aug 27, 2020",15.135
"Aug 28, 2020",14.289
"Aug 29, 2020",14.143
"Aug 30, 2020",8.245
"Aug 31, 2020",6.141
"Sep 1, 2020",10.559
"Sep 2, 2020",10.632
"Sep 3, 2020",12.322
"Sep 4, 2020",15.872
"Sep 5, 2020",17.672
"Sep 6, 2020",14.117
"Sep 7, 2020",1.68
"Sep 8, 2020",7.681
"Sep 9, 2020",13.815
"Sep 10, 2020",15.99
"Sep 11, 2020",15.715
"Sep 12, 2020",13.57
"Sep 13, 2020",10.488
"Sep 14, 2020",12.479
"Sep 15, 2020",8.843
"Sep 16, 2020",11.487
"Sep 17, 2020",13.701
"Sep 18, 2020",16.928
"Sep 19, 2020",11.433
"Sep 20, 2020",9.436
"Sep 21, 2020",5.855
"Sep 22, 2020",10.84
"Sep 23, 2020",4.654
"Sep 24, 2020",0.063
"Sep 25, 2020",-2.053
"Sep 26, 2020",-0.12
"Sep 27, 2020",-1.367
"Sep 28, 2020",7.963
"Sep 29, 2020",7.774
"Sep 30, 2020",8.908
