system:time_start,tmax
"Jun 1, 2020",6.421
"Jun 2, 2020",9.072
"Jun 3, 2020",3.602
"Jun 4, 2020",7.421
"Jun 5, 2020",8.036
"Jun 6, 2020",8.112
"Jun 7, 2020",4.164
"Jun 8, 2020",5.942
"Jun 9, 2020",2.575
"Jun 10, 2020",9.247
"Jun 11, 2020",9.466
"Jun 12, 2020",14.264
"Jun 13, 2020",7.453
"Jun 14, 2020",4.876
"Jun 15, 2020",4.971
"Jun 16, 2020",7.288
"Jun 17, 2020",8.766
"Jun 18, 2020",11.399
"Jun 19, 2020",13.311
"Jun 20, 2020",8.437
"Jun 21, 2020",12.444
"Jun 22, 2020",14.051
"Jun 23, 2020",13.569
"Jun 24, 2020",10.059
"Jun 25, 2020",14.838
"Jun 26, 2020",13.657
"Jun 27, 2020",9.47
"Jun 28, 2020",4.526
"Jun 29, 2020",9.659
"Jun 30, 2020",10.021
"Jul 1, 2020",3.521
"Jul 2, 2020",3.853
"Jul 3, 2020",9.021
"Jul 4, 2020",6.988
"Jul 5, 2020",10.96
"Jul 6, 2020",13.677
"Jul 7, 2020",11.443
"Jul 8, 2020",9.865
"Jul 9, 2020",9.059
"Jul 10, 2020",11.949
"Jul 11, 2020",14.101
"Jul 12, 2020",11.12
"Jul 13, 2020",7.1
"Jul 14, 2020",11.868
"Jul 15, 2020",11.299
"Jul 16, 2020",14.06
"Jul 17, 2020",10.743
"Jul 18, 2020",12.812
"Jul 19, 2020",12.752
"Jul 20, 2020",14.881
"Jul 21, 2020",17.315
"Jul 22, 2020",17.622
"Jul 23, 2020",16.276
"Jul 24, 2020",10.659
"Jul 25, 2020",10.865
"Jul 26, 2020",16.153
"Jul 27, 2020",20.162
"Jul 28, 2020",20.792
"Jul 29, 2020",20.345
"Jul 30, 2020",21.01
"Jul 31, 2020",20.34
"Aug 1, 2020",21.486
"Aug 2, 2020",21.068
"Aug 3, 2020",16.386
"Aug 4, 2020",16.977
"Aug 5, 2020",20.205
"Aug 6, 2020",17.132
"Aug 7, 2020",9.438
"Aug 8, 2020",10.089
"Aug 9, 2020",11.008
"Aug 10, 2020",13.436
"Aug 11, 2020",12.128
"Aug 12, 2020",10.547
"Aug 13, 2020",10.67
"Aug 14, 2020",13.028
"Aug 15, 2020",17.536
"Aug 16, 2020",19.98
"Aug 17, 2020",20.719
"Aug 18, 2020",20.749
"Aug 19, 2020",18.174
"Aug 20, 2020",18.219
"Aug 21, 2020",15.194
"Aug 22, 2020",13.96
"Aug 23, 2020",14.341
"Aug 24, 2020",14.109
"Aug 25, 2020",14.856
"Aug 26, 2020",13.943
"Aug 27, 2020",15.376
"Aug 28, 2020",15.873
"Aug 29, 2020",13.062
"Aug 30, 2020",9.206
"Aug 31, 2020",7.27
"Sep 1, 2020",12.443
"Sep 2, 2020",11.767
"Sep 3, 2020",13.918
"Sep 4, 2020",17.423
"Sep 5, 2020",18.875
"Sep 6, 2020",14.11
"Sep 7, 2020",3.503
"Sep 8, 2020",9.291
"Sep 9, 2020",15.283
"Sep 10, 2020",17.383
"Sep 11, 2020",17.508
"Sep 12, 2020",14.896
"Sep 13, 2020",11.457
"Sep 14, 2020",12.383
"Sep 15, 2020",9.402
"Sep 16, 2020",13.236
"Sep 17, 2020",14.626
"Sep 18, 2020",18.116
"Sep 19, 2020",13.141
"Sep 20, 2020",10.57
"Sep 21, 2020",7.39
"Sep 22, 2020",12.083
"Sep 23, 2020",4.855
"Sep 24, 2020",2.652
"Sep 25, 2020",-0.349
"Sep 26, 2020",1.64
"Sep 27, 2020",-0.147
"Sep 28, 2020",9.177
"Sep 29, 2020",9.113
"Sep 30, 2020",9.748
