system:time_start,tmin
"Jun 1, 2020",-1.642
"Jun 2, 2020",-1.169
"Jun 3, 2020",-1.538
"Jun 4, 2020",-2.716
"Jun 5, 2020",-1.469
"Jun 6, 2020",-0.065
"Jun 7, 2020",-1.076
"Jun 8, 2020",-1.232
"Jun 9, 2020",-3.144
"Jun 10, 2020",-0.314
"Jun 11, 2020",3.536
"Jun 12, 2020",5.25
"Jun 13, 2020",1.376
"Jun 14, 2020",-1.724
"Jun 15, 2020",-3.343
"Jun 16, 2020",-0.617
"Jun 17, 2020",-0.442
"Jun 18, 2020",0.568
"Jun 19, 2020",1.959
"Jun 20, 2020",6.151
"Jun 21, 2020",4.753
"Jun 22, 2020",4.902
"Jun 23, 2020",7.885
"Jun 24, 2020",4.195
"Jun 25, 2020",2.998
"Jun 26, 2020",8.502
"Jun 27, 2020",-0.641
"Jun 28, 2020",-0.993
"Jun 29, 2020",-1.244
"Jun 30, 2020",0.567
"Jul 1, 2020",0.629
"Jul 2, 2020",-0.879
"Jul 3, 2020",2.212
"Jul 4, 2020",0.713
"Jul 5, 2020",1.117
"Jul 6, 2020",1.921
"Jul 7, 2020",2.865
"Jul 8, 2020",1.777
"Jul 9, 2020",3.676
"Jul 10, 2020",2.119
"Jul 11, 2020",5.304
"Jul 12, 2020",-0.26
"Jul 13, 2020",1.146
"Jul 14, 2020",0.121
"Jul 15, 2020",4.46
"Jul 16, 2020",4.823
"Jul 17, 2020",5.031
"Jul 18, 2020",3.215
"Jul 19, 2020",4.114
"Jul 20, 2020",4.838
"Jul 21, 2020",8.36
"Jul 22, 2020",9.878
"Jul 23, 2020",7.801
"Jul 24, 2020",2.275
"Jul 25, 2020",1.602
"Jul 26, 2020",3.123
"Jul 27, 2020",10.777
"Jul 28, 2020",11.792
"Jul 29, 2020",11.712
"Jul 30, 2020",11.995
"Jul 31, 2020",12.515
"Aug 1, 2020",9.333
"Aug 2, 2020",11.252
"Aug 3, 2020",7.476
"Aug 4, 2020",7.474
"Aug 5, 2020",10.094
"Aug 6, 2020",7.406
"Aug 7, 2020",1.281
"Aug 8, 2020",1.88
"Aug 9, 2020",1.599
"Aug 10, 2020",4.268
"Aug 11, 2020",3.891
"Aug 12, 2020",2.345
"Aug 13, 2020",2.001
"Aug 14, 2020",3.281
"Aug 15, 2020",7.714
"Aug 16, 2020",11.049
"Aug 17, 2020",13.187
"Aug 18, 2020",10.902
"Aug 19, 2020",8.69
"Aug 20, 2020",10.094
"Aug 21, 2020",8.981
"Aug 22, 2020",2.865
"Aug 23, 2020",5.989
"Aug 24, 2020",8.344
"Aug 25, 2020",4.04
"Aug 26, 2020",5.985
"Aug 27, 2020",4.591
"Aug 28, 2020",5.182
"Aug 29, 2020",1.381
"Aug 30, 2020",-0.474
"Aug 31, 2020",1.486
"Sep 1, 2020",5.17
"Sep 2, 2020",4.254
"Sep 3, 2020",4.025
"Sep 4, 2020",8.683
"Sep 5, 2020",10.981
"Sep 6, 2020",-0.382
"Sep 7, 2020",-4.093
"Sep 8, 2020",-3.83
"Sep 9, 2020",4.662
"Sep 10, 2020",6.525
"Sep 11, 2020",7.265
"Sep 12, 2020",5.997
"Sep 13, 2020",8.028
"Sep 14, 2020",8.437
"Sep 15, 2020",1.474
"Sep 16, 2020",5.064
"Sep 17, 2020",8.138
"Sep 18, 2020",8.048
"Sep 19, 2020",6.6
"Sep 20, 2020",3.752
"Sep 21, 2020",3.077
"Sep 22, 2020",2.77
"Sep 23, 2020",4.855
"Sep 24, 2020",0.337
"Sep 25, 2020",-0.349
"Sep 26, 2020",-3.645
"Sep 27, 2020",-0.16
"Sep 28, 2020",3.862
"Sep 29, 2020",4.635
"Sep 30, 2020",0.392
