ID,scan_id,date,notes
81,0,2021-08-05,NA
82,1,2021-08-05,NA
83,3,2021-08-05,NA
84,4,2021-08-05,NA
85,5,2021-08-05,NA
86,6,2021-08-05,NA
87,7,2021-08-05,NA
88,8,2021-08-05,NA
89,9,2021-08-05,NA
90,10,2021-08-05,NA
91,11,2021-08-05,NA
92,12,2021-08-05,NA
93,13,2021-08-05,NA
94,14,2021-08-05,NA
95,15,2021-08-05,NA
96,16,2021-08-05,NA
97,17,2021-08-05,NA
98,18,2021-08-05,NA
99,19,2021-08-05,NA
100,20,2021-08-05,NA
101,21,2021-08-05,NA
102,22,2021-08-05,NA
103,23,2021-08-05,NA
104,24,2021-08-05,NA
105,25,2021-08-05,NA
106,27,2021-08-05,NA
107,28,2021-08-05,NA
108,29,2021-08-05,NA
109,NA,2021-08-05,NA
110,30,2021-08-05,NA
111,31,2021-08-05,NA
112,32,2021-08-05,NA
113,33,2021-08-05,NA
114,34,2021-08-05,NA
115,35,2021-08-05,NA
116,NA,2021-08-05,NA
117,NA,2021-08-05,NA
118,NA,2021-08-05,NA
119,NA,2021-08-05,NA
120,40,2021-08-05,NA
121,NA,2021-08-05,NA
122,NA,2021-08-05,NA
123,43,2021-08-05,NA
124,44,2021-08-05,NA
125,NA,2021-08-05,NA
126,NA,2021-08-05,NA
127,NA,2021-08-05,NA
128,NA,2021-08-05,NA
129,NA,2021-08-05,NA
130,50,2021-08-05,NA
131,NA,2021-08-05,NA
132,52,2021-08-05,NA
133,53,2021-08-05,NA
134,NA,2021-08-05,NA
135,NA,2021-08-05,NA
136,NA,2021-08-05,NA
137,57,2021-08-05,NA
138,NA,2021-08-05,NA
139,59,2021-08-05,NA
140,60,2021-08-05,cloud
141,NA,2021-08-05,NA
142,NA,2021-08-05,NA
143,NA,2021-08-05,NA
144,64,2021-08-05,cloud
145,NA,2021-08-05,NA
146,NA,2021-08-05,NA
147,NA,2021-08-05,NA
148,NA,2021-08-05,NA
149,NA,2021-08-05,NA
150,70,2021-08-05,cloud
151,NA,2021-08-05,NA
152,NA,2021-08-05,NA
153,73,2021-08-05,cloud
154,NA,2021-08-05,NA
155,75,2021-08-05,cloud
156,76,2021-08-05,cloud
157,77,2021-08-05,cloud
158,78,2021-08-05,NA
159,NA,2021-08-05,NA
160,NA,2021-08-05,NA
161,NA,2021-08-05,NA
162,NA,2021-08-05,NA
163,83,2021-08-05,NA
164,84,2021-08-05,"do not include, purposefully took red scan close to ground"
165,85,2021-08-05,NA
166,NA,2021-08-05,NA
167,NA,2021-08-05,NA
168,NA,2021-08-05,NA
169,NA,2021-08-05,NA
170,NA,2021-08-05,NA
171,NA,2021-08-05,NA
172,92,2021-08-05,NA
173,NA,2021-08-05,NA
174,94,2021-08-05,cirrus
175,95,2021-08-05,cirrus
176,96,2021-08-05,cirrus
177,97,2021-08-05,cirrus
178,98,2021-08-05,cirrus
179,99,2021-08-05,cirrus
